iter	Passed	Remaining
696	45552	19802
697	45596	19728
698	45654	19659
699	45719	19593
700	45755	19516
701	45795	19440
702	45888	19386
703	45958	19323
704	46018	19255
705	46067	19183
706	46109	19109
707	46162	19038
708	46214	18968
709	46270	18899
710	46317	18826
711	46364	18754
712	46414	18683
713	46454	18607
714	46615	18581
715	46706	18525
716	46766	18458
717	46806	18383
718	46848	18309
719	46892	18236
720	46935	18162
721	46980	18089
722	47005	18009
723	47043	17933
724	47091	17862
725	47112	17780
726	47156	17708
727	47183	17628
728	47223	17555
729	47275	17485
730	47316	17411
731	47361	17340
732	47411	17269
733	47455	17197
734	47531	17137
735	47602	17074
736	47706	17024
737	47792	16966
738	47876	16909
739	47936	16842
740	48019	16784
741	48082	16718
742	48163	16659
743	48230	16595
744	48287	16527
745	48362	16466
746	48443	16407
747	48596	16372
748	48649	16303
749	48727	16242
750	48778	16172
751	48834	16105
752	48883	16034
753	49017	15992
754	49077	15925
755	49239	15892
756	49297	15824
757	49354	15757
758	49408	15688
759	49462	15619
760	49548	15561
761	49642	15505
762	49768	15458
763	49835	15394
764	49910	15331
765	49959	15261
766	50019	15194
767	50068	15124
768	50106	15051
769	50160	14982
770	50197	14909
771	50240	14837
772	50288	14767
773	50335	14697
774	50392	14630
775	50459	14565
776	50540	14505
777	50594	14437
778	50699	14383
779	50796	14327
780	50861	14262
781	50930	14198
782	50994	14132
783	51058	14067
784	51135	14005
785	51208	13942
786	51268	13875
787	51329	13809
788	51431	13754
789	51494	13688
790	51586	13630
791	51658	13566
792	51736	13505
793	51843	13450
794	51910	13385
795	51999	13326
796	52078	13264
797	52144	13199
798	52201	13132
799	52258	13064
800	52314	12996
801	52412	12939
802	52463	12870
803	52512	12801
804	52568	12733
805	52603	12661
806	52664	12595
807	52717	12526
808	52767	12458
809	52951	12420
810	53059	12365
811	53122	12299
812	53169	12229
813	53214	12159
814	53277	12093
815	53408	12043
816	53471	11977
817	53523	11908
818	53583	11842
819	53661	11779
820	53789	11727
821	53891	11669
822	53999	11613
823	54061	11547
824	54136	11483
825	54274	11433
826	54399	11379
827	54473	11315
828	54540	11250
829	54609	11185
830	54667	11117
831	54719	11049
832	54779	10982
833	54839	10915
834	54893	10847
835	54945	10778
836	55028	10716
837	55076	10647
838	55211	10594
839	55320	10537
840	55364	10467
841	55413	10398
842	55454	10327
843	55512	10260
844	55644	10207
845	55694	10138
846	55748	10070
847	55805	10002
848	55850	9933
849	55964	9876
850	56064	9816
851	56138	9751
852	56185	9682
853	56237	9614
854	56361	9558
855	56418	9490
856	56553	9436
857	56644	9374
858	56720	9310
859	56780	9243
860	56818	9172
861	56862	9103
862	56907	9033
863	57018	8975
864	57184	8924
865	57231	8855
866	57283	8787
867	57330	8718
868	57377	8649
869	57425	8580
870	57473	8512
871	57531	8444
872	57614	8381
873	57671	8314
874	57734	8247
875	57797	8181
876	57943	8126
877	57992	8058
878	58034	7988
879	58083	7920
880	58135	7852
881	58204	7786
882	58255	7719
883	58383	7661
884	58432	7592
885	58574	7536
886	58651	7471
887	58713	7405
888	58769	7337
889	58825	7270
890	58939	7210
891	59049	7149
892	59147	7087
893	59224	7022
894	59303	6957
895	59365	6890
896	59420	6823
897	59463	6754
898	59501	6684
899	59548	6616
900	59592	6547
901	59653	6481
902	59717	6414
903	59780	6348
904	59832	6280
905	59877	6212
906	59924	6144
907	59972	6076
908	60029	6009
909	60083	5942
910	60132	5874
911	60174	5806
912	60225	5738
913	60298	5673
914	60369	5608
915	60415	5540
916	60470	5473
917	60527	5406
918	60597	5341
919	60722	5280
920	60811	5216
921	60869	5149
922	60938	5083
923	60990	5016
924	61096	4953
925	61166	4888
926	61220	4821
927	61270	4753
928	61345	4688
929	61392	4620
930	61429	4552
931	61474	4485
932	61520	4417
933	61581	4351
934	61634	4284
935	61764	4223
936	61810	4155
937	61853	4088
938	61993	4027
939	62036	3959
940	62080	3892
941	62126	3825
942	62173	3758
943	62220	3691
944	62307	3626
945	62384	3561
946	62432	3494
947	62491	3427
948	62546	3361
949	62617	3295
950	62665	3228
951	62715	3162
952	62768	3095
953	62832	3029
954	62887	2963
955	62944	2897
956	63025	2831
957	63096	2766
958	63224	2703
959	63267	2636
960	63384	2572
961	63474	2507
962	63523	2440
963	63575	2374
964	63621	2307
965	63670	2240
966	63722	2174
967	63769	2108
968	63812	2041
969	63859	1975
970	63906	1908
971	63944	1842
972	63997	1775
973	64041	1709
974	64092	1643
975	64124	1576
976	64178	1510
977	64230	1444
978	64262	1378
979	64314	1312
980	64470	1248
981	64563	1183
982	64616	1117
983	64695	1051
984	64766	986
985	64882	921
986	64956	855
987	65008	789
988	65060	723
989	65125	657
990	65171	591
991	65314	526
992	65384	460
993	65500	395
994	65590	329
995	65638	263
996	65685	197
997	65736	131
998	65806	65
999	65848	0
