iter	Passed	Remaining
0	21	2172
1	47	2308
2	65	2133
3	75	1802
4	81	1544
5	92	1447
6	131	1742
7	153	1767
8	172	1744
9	189	1702
10	195	1579
11	203	1495
12	222	1492
13	240	1480
14	254	1439
15	270	1418
16	300	1467
17	313	1429
18	339	1448
19	350	1400
20	360	1354
21	366	1300
22	391	1310
23	412	1305
24	429	1289
25	436	1242
26	442	1195
27	464	1194
28	477	1168
29	489	1142
30	495	1102
31	517	1098
32	523	1061
33	544	1057
34	560	1040
35	566	1006
36	571	973
37	580	947
38	599	936
39	629	943
40	684	984
41	732	1011
42	759	1006
43	805	1025
44	833	1019
45	853	1002
46	912	1028
47	1001	1085
48	1039	1082
49	1090	1090
50	1124	1080
51	1149	1061
52	1168	1036
53	1176	1002
54	1202	984
55	1213	953
56	1234	931
57	1241	899
58	1268	881
59	1282	854
60	1291	825
61	1313	805
62	1358	798
63	1406	790
64	1426	768
65	1470	757
66	1483	730
67	1507	709
68	1523	684
69	1547	663
70	1572	642
71	1621	630
72	1705	630
73	1753	616
74	1802	600
75	1840	581
76	1870	558
77	1929	544
78	1991	529
79	2018	504
80	2107	494
81	2165	475
82	2178	446
83	2193	417
84	2200	388
85	2210	359
86	2233	333
87	2256	307
88	2268	280
89	2290	254
90	2312	228
91	2330	202
92	2352	177
93	2374	151
94	2396	126
95	2418	100
96	2441	75
97	2462	50
98	2475	25
99	2496	0
