iter	Logloss
0	0.6853611466
1	0.6777615645
2	0.6702911325
3	0.6629626841
4	0.6557756013
5	0.6487176386
6	0.6417944018
7	0.6350196363
8	0.6283555995
9	0.6218168348
10	0.615406979
11	0.609115584
12	0.6029269877
13	0.5968599135
14	0.5909075874
15	0.5850642936
16	0.5793147263
17	0.5736781064
18	0.5681320551
19	0.5626932351
20	0.5573374436
21	0.5520850607
22	0.5469287353
23	0.5418516685
24	0.5368501954
25	0.5319506304
26	0.5271346599
27	0.5224081867
28	0.5177572235
29	0.5131675137
30	0.5086679014
31	0.5042516779
32	0.4999006011
33	0.4956087861
34	0.4913953438
35	0.4872558157
36	0.4831841064
37	0.4791690062
38	0.4752387242
39	0.471354829
40	0.4675336918
41	0.4637733078
42	0.4600684808
43	0.4564254951
44	0.4528541771
45	0.4493357477
46	0.4458745037
47	0.4424483399
48	0.4390911443
49	0.4357755396
50	0.4325265712
51	0.4293302314
52	0.4261797528
53	0.4230788054
54	0.4200106798
55	0.4169875131
56	0.4140127104
57	0.4110986969
58	0.4082256479
59	0.4053988272
60	0.4026167665
61	0.3998754803
62	0.3971478768
63	0.3944758646
64	0.3918605685
65	0.3892644049
66	0.3867160171
67	0.3841750389
68	0.3817054251
69	0.3792714377
70	0.3768667378
71	0.3745047565
72	0.3721810893
73	0.3698971618
74	0.3676237468
75	0.3653922866
76	0.3632090834
77	0.3610345432
78	0.3588957474
79	0.3568084583
80	0.3547296011
81	0.3526667547
82	0.3506718377
83	0.3486730422
84	0.3467355168
85	0.3448239087
86	0.3429233414
87	0.3409549932
88	0.3390898318
89	0.3371839932
90	0.3353251449
91	0.333492743
92	0.3316620294
93	0.3298572824
94	0.3280846132
95	0.326389231
96	0.324668258
97	0.3229533079
98	0.3213133302
99	0.3196854023
